index,costs
1,1845
2,2745
3,2451
4,1541
5,3653
6,2749
7,2453
8,2445
9,2143
10,1841
11,1843
12,2443
13,3349
14,2143
15,3053
16,3045
17,2445
18,4261
19,3655
20,2447
21,1243
22,951
23,3651
24,3653
25,2749
26,2143
27,2147
28,1547
29,3047
30,2449
31,2147
32,1545
33,3045
34,1543
35,2147
36,2749
37,2143
38,2443
39,3949
40,1849
41,3353
42,2145
43,2747
44,1843
45,2145
46,3047
47,3045
48,3653
49,2145
50,3353
51,2145
52,1843
53,2449
54,3353
55,2445
56,3049
57,1541
58,2453
59,3047
60,2447
61,1241
62,1245
63,2445
64,3353
65,1851
66,2747
67,1545
68,2141
69,1543
70,2449
71,2147
72,3051
73,2747
74,2143
75,2755
76,3953
77,3353
78,1843
79,3349
80,2755
81,3047
82,3349
83,641
84,2449
85,3349
86,2749
87,2747
88,3047
89,1845
90,1545
91,2747
92,3045
93,3349
94,2143
95,1549
96,1547
97,3353
98,2147
99,2749
100,2745
101,1243
102,3047
103,2745
104,1245
105,2443
106,3057
107,2143
108,2445
109,1845
110,2445
111,2445
112,2443
113,2141
114,5163
115,1547
116,2447
117,1543
118,2145
119,2447
120,2449
121,2745
122,1545
123,2445
124,1841
125,3655
126,2447
127,3045
128,3045
129,941
130,1245
131,1541
132,2141
133,2147
134,1845
135,3355
136,2443
137,2445
138,2445
139,3349
140,3049
141,2443
142,3651
143,2141
144,2147
145,2445
146,2749
147,2143
148,3351
149,1545
150,2745
151,3349
152,2747
153,3347
154,2745
155,3049
156,2743
157,2445
158,1841
159,2149
160,3655
161,2747
162,1543
163,943
164,3051
165,1547
166,1545
167,1841
168,2445
169,2147
170,2451
171,2441
172,1543
173,3649
174,2445
175,2143
176,1541
177,3649
178,1545
179,3649
180,2749
181,2443
182,2445
183,2445
184,3351
185,1847
186,2745
187,2449
188,3049
189,4857
190,2749
191,1843
192,1843
193,2749
194,2443
195,1841
196,1853
197,3063
198,2747
199,2743
200,3051
201,2447
202,1547
203,3049
204,1841
205,2755
206,2147
207,1845
208,2445
209,2747
210,2447
211,1847
212,1841
213,2443
214,2753
215,1845
216,2749
217,3653
218,2443
219,2449
220,2753
221,1545
222,2445
223,3047
224,2143
225,2749
226,2443
227,2143
228,2447
229,1841
230,2743
231,2747
232,1843
233,2445
234,3349
235,3957
236,2749
237,2141
238,3353
239,2449
240,2443
241,2147
242,1841
243,1541
244,3349
245,3659
246,2749
247,2151
248,3655
249,1843
250,1847
251,2747
252,2145
253,2447
254,2141
255,2449
256,2151
257,2149
258,2445
259,2147
260,2443
261,2149
262,1541
263,2145
264,2443
265,1541
266,3051
267,2445
268,3349
269,3349
270,2143
271,2151
272,2749
273,2747
274,4255
275,3647
276,1245
277,2445
278,2141
279,1541
280,2749
281,1545
282,3349
283,2145
284,1845
285,1545
286,1841
287,4557
288,2443
289,1547
290,2145
291,2143
292,2743
293,2145
294,2145
295,2743
296,2445
297,2447
298,1845
299,2443
300,2143
301,3957
302,1543
303,1541
304,1545
305,1243
306,3653
307,1843
308,2443
309,2151
310,1543
311,2445
312,2143
313,2749
314,1843
315,2449
316,3049
317,2145
318,2147
319,3353
320,1541
321,2141
322,2743
323,2443
324,3049
325,2445
326,2447
327,1841
328,2141
329,2143
330,4563
331,4255
332,1847
333,3961
334,2443
335,3049
336,2749
337,2749
338,3051
339,3655
340,3049
341,2445
342,3045
343,2141
344,3049
345,2751
346,2147
347,2445
348,2745
349,2449
350,1841
351,2749
352,2751
353,2445
354,2145
355,1841
356,2143
357,2449
358,2141
359,1841
360,2443
361,3053
362,2749
363,2145
364,2145
365,2451
366,1541
367,2143
368,2753
369,1843
370,2745
371,3047
372,3349
373,1849
374,2141
375,2145
376,2449
377,2745
378,2143
379,1845
380,2447
381,3649
382,1845
383,1247
384,2147
385,2141
386,3345
387,2449
388,2751
389,2447
390,3653
391,2145
392,2451
393,2449
394,3957
395,1543
396,2141
397,1243
398,2145
399,2449
400,2143
401,1545
402,1841
403,3051
404,2449
405,1243
406,4259
407,3049
408,2443
409,3357
410,2447
411,2147
412,2147
413,2147
414,1843
415,2445
416,2143
417,2745
418,4257
419,3955
420,2147
421,2145
422,3047
423,2753
424,2143
425,3047
426,2747
427,2445
428,1845
429,2747
430,1247
431,3047
432,3351
433,1243
434,1845
435,3347
436,1845
437,3353
438,2145
439,3353
440,1551
441,1543
442,3045
443,3351
444,2745
445,3047
446,2443
447,1841
448,1541
449,3353
450,1849
451,3651
452,2145
453,3349
454,3057
455,2745
456,2445
457,1843
458,3647
459,2143
460,1241
461,1845
462,2441
463,3047
464,1847
465,1841
466,1543
467,2143
468,3353
469,1843
470,3959
471,3351
472,1541
473,2749
474,2149
475,3353
476,2747
477,1541
478,2749
479,2447
480,2753
481,3351
482,1845
483,2147
484,2447
485,1841
486,1849
487,2141
488,2745
489,2749
490,1841
491,2447
492,2445
493,3045
494,3659
495,3953
496,2143
497,3045
498,2443
499,3051
