index,costs
1,1243
2,1243
3,1543
4,2441
5,1543
6,1241
7,941
8,2143
9,1241
10,2143
11,1243
12,1243
13,943
14,941
15,943
16,1841
17,1541
18,1543
19,1543
20,1843
21,1843
22,1843
23,2447
24,1543
25,1543
26,1243
27,1845
28,1243
29,941
30,1543
31,1243
32,943
33,641
34,643
35,1543
36,943
37,641
38,1843
39,943
40,1541
41,943
42,341
43,2143
44,943
45,1243
46,2143
47,1543
48,1243
49,943
50,941
51,1541
52,1843
53,1241
54,1243
55,1541
56,2143
57,1843
58,1541
59,943
60,941
61,1541
62,1243
63,643
64,945
65,1541
66,1243
67,1543
68,341
69,1543
70,1543
71,641
72,1543
73,2445
74,1243
75,1543
76,1843
77,1543
78,1841
79,2143
80,1243
81,1543
82,1241
83,1843
84,1843
85,1841
86,1843
87,1543
88,1543
89,1243
90,643
91,641
92,2145
93,1543
94,2143
95,1847
96,2143
97,1543
98,941
99,1841
100,1543
101,1841
102,943
103,945
104,643
105,1241
106,1241
107,1541
108,1243
109,1241
110,641
111,1543
112,1243
113,1841
114,1243
115,343
116,1241
117,1543
118,1243
119,641
120,941
121,943
122,2445
123,1543
124,1541
125,941
126,1241
127,1241
128,1543
129,1541
130,1541
131,1541
132,1543
133,343
134,1541
135,1243
136,1243
137,1845
138,2147
139,943
140,1845
141,1843
142,1841
143,2443
144,943
145,1543
146,1243
147,943
148,1841
149,941
150,1241
151,1543
152,1245
153,943
154,643
155,943
156,1241
157,1543
158,2443
159,1543
160,941
161,643
162,943
163,943
164,341
165,1543
166,1543
167,2445
168,1243
169,2443
170,1241
171,641
172,1243
173,1841
174,1241
175,1841
176,1841
177,1241
178,943
179,1541
180,1243
181,1843
182,1845
183,1841
184,1843
185,1843
186,943
187,1543
188,939
189,341
190,943
191,943
192,1243
193,1843
194,1243
195,1243
196,943
197,1543
198,1243
199,943
200,1545
201,1841
202,943
203,1243
204,2143
205,1843
206,1843
207,943
208,1243
209,643
210,941
211,941
212,1841
213,643
214,341
215,1543
216,943
217,941
218,1241
219,1243
220,343
221,945
222,943
223,1543
224,1543
225,1541
226,1543
227,2143
228,2143
229,1541
230,1543
231,1243
232,1541
233,643
234,641
235,1243
236,1243
237,2143
238,1541
239,2143
240,1541
241,1241
242,1843
243,1543
244,941
245,1841
246,1243
247,2143
248,1843
249,1243
250,941
251,943
252,2141
253,1543
254,1843
255,1543
256,941
257,1245
258,1243
259,1843
260,641
261,1241
262,1841
263,2141
264,1543
265,1843
266,2743
267,1543
268,1543
269,1243
270,1243
271,1843
272,643
273,641
274,1243
275,1843
276,1243
277,1241
278,1843
279,643
280,941
281,943
282,2145
283,1843
284,941
285,1843
286,1543
287,2443
288,1843
289,1241
290,941
291,1543
292,1243
293,643
294,1545
295,941
296,1241
297,1543
298,641
299,1843
300,2141
301,1243
302,1543
303,1843
304,943
305,1543
306,1843
307,1243
308,1239
309,1245
310,939
311,2141
312,1241
313,943
314,1843
315,1241
316,1543
317,1543
318,1843
319,1543
320,1543
321,1543
322,1541
323,1243
324,1543
325,1243
326,1543
327,1543
328,1543
329,941
330,939
331,943
332,941
333,1243
334,643
335,641
336,1545
337,1243
338,943
339,1543
340,1543
341,941
342,1243
343,1543
344,1243
345,2143
346,943
347,945
348,941
349,1543
350,943
351,1243
352,1541
353,1543
354,1243
355,1843
356,1245
357,1541
358,1243
359,943
360,1241
361,943
362,1243
363,943
364,2443
365,943
366,1543
367,1243
368,1241
369,1243
370,1545
371,1543
372,941
373,1845
374,941
375,1541
376,1841
377,1841
378,1843
379,1541
380,943
381,2145
382,1843
383,1543
384,941
385,1541
386,943
387,1845
388,1841
389,1541
390,1843
391,641
392,1843
393,1843
394,639
395,1843
396,1843
397,941
398,1243
399,1543
400,943
401,1843
402,1241
403,2143
404,1543
405,1543
406,1243
407,643
408,1241
409,1241
410,941
411,1541
412,1543
413,943
414,1543
415,943
416,1543
417,2145
418,943
419,2143
420,1243
421,341
422,1243
423,1241
424,1243
425,941
426,1541
427,1241
428,1843
429,1243
430,941
431,1843
432,2143
433,1243
434,941
435,1245
436,1541
437,1543
438,641
439,941
440,943
441,2143
442,1241
443,1843
444,1243
445,641
446,1543
447,2743
448,945
449,1243
450,1241
451,939
452,941
453,1843
454,1243
455,941
456,1543
457,941
458,1543
459,1543
460,1543
461,639
462,1543
463,1543
464,1845
465,1543
466,939
467,1241
468,1543
469,941
470,943
471,1243
472,1541
473,1243
474,939
475,943
476,1243
477,941
478,641
479,1543
480,641
481,943
482,1541
483,943
484,941
485,1843
486,1241
487,1843
488,1545
489,1843
490,941
491,1543
492,641
493,1543
494,643
495,941
496,943
497,941
498,941
499,943
